Time 	 AccX 	 AccY 	 AccZ 	 GyroX 	 GyroY 	 GyroZ
10.481	-0.41	0.86	-9.89	-0.00	0.09	0.02
10.509	1.31	0.37	-9.80	0.18	-0.00	0.02
10.535	1.19	0.15	-9.46	-0.16	0.00	0.24
10.563	1.36	1.51	-9.76	0.02	-0.04	0.01
10.590	0.91	1.17	-9.62	-0.03	0.05	0.00
10.617	0.96	0.37	-9.79	-0.11	0.02	-0.10
10.644	0.87	0.64	-9.72	-0.06	0.10	0.15
10.672	0.73	0.49	-9.76	0.07	0.07	0.01
10.701	1.29	0.56	-10.09	0.05	0.02	0.00
10.729	2.49	1.26	-9.06	-0.14	-0.02	0.03
10.756	0.47	1.38	-9.75	0.07	0.03	-0.06
10.783	0.01	-0.82	-10.42	0.02	-0.04	-0.06
10.810	0.11	3.10	-9.36	-0.03	-0.02	-0.04
10.838	0.37	1.31	-9.72	-0.13	0.08	0.02
10.864	0.74	0.85	-9.45	0.01	-0.00	-0.00
10.892	0.78	0.91	-9.79	0.03	-0.04	-0.08
10.918	0.84	0.62	-9.74	0.06	0.07	0.02
10.946	0.93	0.71	-9.75	0.00	0.04	-0.06
10.973	0.96	0.83	-9.74	-0.01	-0.05	0.07
11.000	1.01	0.70	-9.73	0.06	0.03	-0.02
11.027	1.01	0.74	-9.69	0.08	0.01	-0.01
11.058	1.01	0.67	-9.74	0.01	0.07	0.10
11.084	0.96	0.79	-9.83	0.01	0.03	0.01
11.112	0.93	0.69	-9.84	0.01	-0.09	-0.06
11.139	0.87	0.70	-9.75	-0.00	0.11	0.02
11.166	0.83	0.73	-9.75	0.10	-0.03	0.01
11.193	0.82	0.75	-9.77	-0.03	0.03	0.09
11.220	0.81	0.65	-9.83	0.02	0.03	0.07
11.247	0.78	0.75	-9.78	-0.07	0.09	-0.09
11.275	0.87	0.65	-9.79	-0.05	-0.08	-0.09
11.301	0.87	0.71	-9.71	0.05	0.05	-0.06
11.329	0.90	0.72	-9.74	-0.03	0.05	0.02
11.356	0.94	0.75	-9.75	-0.06	-0.19	0.04
11.383	0.95	0.80	-9.76	0.10	-0.01	-0.05
11.413	0.86	0.68	-9.75	0.03	0.04	-0.05
11.441	0.85	0.78	-9.77	-0.01	-0.01	-0.15
11.467	0.85	0.68	-9.66	0.00	0.02	-0.04
11.500	0.93	0.81	-9.75	-0.06	-0.03	0.10
11.528	0.87	0.64	-9.74	-0.01	-0.00	0.13
11.554	0.89	0.77	-9.73	0.00	0.04	-0.11
11.582	0.85	0.80	-9.77	0.04	-0.05	-0.05
11.609	0.92	0.76	-9.77	-0.04	0.03	0.19
11.636	0.91	0.69	-9.81	0.08	0.06	0.04
11.663	0.90	0.72	-9.80	-0.02	0.17	-0.03
11.691	0.91	0.70	-9.70	-0.03	-0.09	0.14
11.717	0.87	0.73	-9.71	-0.05	0.06	0.01
11.745	0.85	0.72	-9.75	-0.09	0.01	0.09
11.774	0.93	0.73	-9.75	-0.02	0.06	-0.00
11.802	0.89	0.70	-9.88	0.04	-0.04	0.01
11.829	0.95	0.75	-9.81	-0.00	0.01	-0.19
11.855	0.85	0.74	-9.83	-0.02	0.07	0.03
11.883	0.83	0.72	-9.80	0.00	-0.05	-0.19
11.910	0.80	0.75	-9.75	-0.07	0.00	0.08
11.937	0.88	0.76	-9.75	-0.01	-0.05	-0.02
11.964	0.79	0.74	-9.71	0.06	0.08	-0.03
11.992	1.13	1.05	-9.77	-0.10	-0.07	0.09
12.018	0.98	0.24	-9.59	-0.14	0.13	0.05
12.046	0.91	0.56	-9.70	0.03	0.08	-0.06
12.072	0.79	0.42	-9.85	0.04	-0.07	-0.10
12.100	0.75	0.50	-9.78	0.06	0.03	0.20
12.130	0.77	0.62	-9.80	-0.07	-0.06	0.01
12.157	0.81	0.78	-9.78	0.04	-0.04	-0.08
12.184	0.80	0.64	-9.78	0.01	-0.09	-0.17
