Time 	 AccX 	 AccY 	 AccZ 	 GyroX 	 GyroY 	 GyroZ
8.498	1.23	1.49	-9.09	0.18	-0.01	-0.15
8.524	-1.31	0.95	-11.34	-0.04	0.01	-0.10
8.552	4.78	-1.75	-6.62	-0.03	0.22	-0.04
8.579	3.83	3.40	-11.87	0.07	0.00	-0.10
8.606	1.19	2.80	-9.04	-0.02	-0.00	-0.22
8.633	-0.09	-1.88	-9.29	-0.06	0.07	-0.25
8.659	1.93	-2.94	-10.57	-0.06	-0.07	-0.27
8.687	-0.93	0.71	-10.08	0.00	0.19	-0.14
8.715	-2.30	-3.11	-9.95	0.12	0.02	-0.17
8.741	2.74	1.79	-10.85	-0.16	0.23	-0.12
8.769	-15.97	0.39	-10.70	0.07	-0.19	-0.06
8.796	-1.63	3.07	-6.60	-0.10	0.05	-0.06
8.826	-3.58	1.39	-12.28	0.05	0.01	0.04
8.853	-3.15	2.18	-10.03	-0.00	0.09	0.00
8.881	-2.79	1.84	-10.14	-0.03	0.14	-0.05
8.907	-4.23	-0.02	-10.66	0.03	-0.02	-0.16
8.935	-3.59	1.22	-10.00	0.00	0.10	-0.11
8.962	-3.91	0.78	-10.06	0.00	-0.03	0.16
8.989	-3.33	0.79	-10.21	-0.03	0.04	-0.04
9.016	-3.41	0.73	-9.78	0.00	-0.03	-0.08
9.043	1.54	0.55	-10.13	-0.03	0.08	-0.00
9.070	0.87	1.01	-9.60	0.00	-0.02	-0.11
9.097	1.29	0.77	-9.80	0.02	0.06	-0.01
9.124	1.30	0.52	-9.66	-0.01	0.11	0.07
9.154	-2.03	1.38	-10.32	0.09	0.27	-0.03
9.182	-0.22	0.13	-8.76	0.00	-0.13	0.03
9.208	1.35	-0.26	-9.95	0.01	-0.04	0.08
9.235	1.57	1.19	-9.85	0.12	-0.11	0.06
9.263	1.06	0.78	-9.70	0.08	0.04	0.04
9.289	0.96	0.65	-9.78	-0.06	0.12	0.08
9.316	0.92	0.91	-9.83	0.07	-0.15	-0.06
9.344	0.85	0.62	-9.74	-0.13	0.07	-0.02
9.370	0.83	0.94	-9.81	-0.05	0.08	0.12
9.398	0.84	0.76	-9.71	-0.00	-0.02	-0.05
9.424	0.79	0.77	-9.80	0.02	0.09	-0.11
9.451	0.78	0.80	-9.80	0.03	0.04	0.02
9.479	0.79	0.82	-9.74	0.05	-0.15	-0.09
9.505	0.80	0.79	-9.68	0.06	-0.05	-0.07
9.535	0.79	0.76	-9.69	-0.16	0.12	-0.03
9.563	0.93	0.70	-9.74	-0.02	0.03	0.00
9.589	0.88	0.84	-9.83	0.04	0.01	0.04
9.616	0.96	0.74	-9.72	-0.10	0.06	-0.06
9.644	0.91	0.83	-9.78	0.05	-0.07	0.01
9.670	0.92	0.75	-9.78	0.00	-0.05	-0.14
9.698	0.88	0.70	-9.74	0.13	-0.08	-0.09
9.724	0.99	0.83	-9.75	0.00	0.01	-0.04
9.751	0.86	0.76	-9.77	-0.08	0.02	-0.03
9.779	0.88	0.65	-9.71	0.06	-0.12	-0.14
9.805	0.89	0.81	-9.70	0.06	0.01	-0.11
9.833	0.94	0.81	-9.72	0.02	0.09	0.16
9.860	0.94	0.81	-9.75	0.06	-0.02	0.03
9.889	0.89	0.77	-9.77	-0.06	-0.03	0.07
9.916	0.95	0.68	-9.77	0.08	0.12	0.07
9.944	0.80	0.70	-9.76	0.04	-0.02	0.04
